Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
1,Yelahanka,Yelahanka,2,Chowdeshwari Ward,Puttenahalli park,,1967,4 Average,
2,Yelahanka,Yelahanka,3,Attur,SFS 208 Opp to Mother Dairy and 1st,,13000,2,
,,,,,Main Park P 208 1 Park,,,,
3,Yelahanka,Yelahanka,3,Attur,SFS 208 Opp to Mother dairy 2nd,,5994,4,
,,,,,Main P 208 2 Park No 2,,,,
4,Yelahanka,Yelahanka,3,Attur,SFS 407 1st and 3rd e 208 Main Park,,2356,3,
,,,,,P 407 3,,,,
5,Yelahanka,Yelahanka,3,Attur,SFS 208 1st Main and 2nd Main,,2645,03- Good,
,,,,,Behind to House No 1,P 208 5,,,
6,Yelahanka,Yelahanka,3,Attur,SFS 208 1st Main and 2nd Main,P,2296,04 Average,
,,,,,208 6,,,,
7,Yelahanka,Yelahanka,3,Attur,SFS 208 2nd Main and 4th Main,P,10944,04-Average,
,,,,,208 7 and 8,,,,
8,Yelahanka,Yelahanka,3,Attur,SFS 407 4th Main and SFS 707 Main,,620,03-Good,
,,,,,in Yelahanka Newtown,,,,
9,Yelahanka,Yelahanka,3,Attur,SFS 407 4th Main,P 407 1 in,19010,03- Good,
,,,,,Yelahanka Newtown,,,,
10,Yelahanka,Yelahanka,3,Attur,SFS 407 2nd Cross Between,,2668,04-Average,
,,,,,Apartment in Yelahanka Newtown,,,,
11,Yelahanka,Yelahanka,3,Attur,4th Phase Nagarjuna Apartment Park,,6109,02 Very Good,
,,,,,5,9,,,
12,Yelahanka,Yelahanka,3,Attur,SFS 407 3rd A and 4th A Main in,,2356,02 Very Good,
,,,,,Yelahanka Newtown P 407 2,,,,
13,Yelahanka,Yelahanka,3,Attur,SFS 407 6th Cross Vinayaka Temple,,1000,04 Average,
,,,,,park,,,,
14,Yelahanka,Yelahanka,3,Attur,SFS 407 12th Main EXP 63 park in,,3448,02 Very Good,
,,,,,Yelahanka Newtown,,,,
15,Yelahanka,Yelahanka,3,Attur,Doddaballapura Double road park in,,5927,04 Average,
,,,,,Yelahanka newtown,,,,
16,Yelahanka,Yelahanka,3,Attur,4th Phase 3rd Cross,Opp to House,916,02 Very Good,
,,,,,No 229 in Yelahanka Newtown,,,,
17,Yelahanka,Yelahanka,3,Attur,4th Phase 1st Cross,Opp to House,531,04 Average,
,,,,,No 90 in Yelahanka Newtown,,,,
18,Yelahanka,Yelahanka,4,Yelahanka Satellite,12th and 13th Cross B Sector P B 5,,3145,02 Verygood,
,,,,town,in Yelahanka Newtown,,,,
19,Yelahanka,Yelahanka,4,Yelahanka Satellite,3rd and 4th Main P A 2 in Yelahanka,,11044,02 Very good,
,,,,town,Newtown,,,,
20,Yelahanka,Yelahanka,4,Yelahanka Satellite,6th and 7th Main Opp to RTO Office,,3478,02 verygood,
,,,,town,P B 1 in Yelahanka Newtown,,,,
21,Yelahanka,Yelahanka,4,Yelahanka Satellite,GKVK Park Judicial layout,in,5000,02 Verygood,
,,,,town,Yelahanka,,,,
22,Yelahanka,Yelahanka,4,Yelahanka Satellite,6th and 7th Main OM Prakruthi park,,6700,03 Good,
,,,,town,P B 2 in Yelahanka Newtown,,,,
23,Yelahanka,Yelahanka,4,Yelahanka Satellite,3rd and 4th Main P B 4 in Yelahanka,,7232,02 Verygood,
,,,,town,Newtown,,,,
24,Yelahanka,Yelahanka,4,Yelahanka Satellite,4th and 5th Cross P A 5 in Yelahanka,,8500,02 Verygood,
,,,,town,Newtown,,,,
25,Yelahanka,Yelahanka,4,Yelahanka Satellite,Telecome Layout JNIAS park,,2000,02 Verygood,
,,,,town,,,,,
26,Yelahanka,Yelahanka,4,Yelahanka Satellite,11th Main 5th Cross A Sector in,,9918,02 Verygood,
,,,,town,Yelahanka Newtown P A 1,,,,
27,Yelahanka,Yelahanka,4,Yelahanka Satellite,Judicial layout,,7000,2 Verygood,
,,,,town,,,,,
28,Yelahanka,Yelahanka,4,Yelahanka Satellite,B Sector 20th and,21st Cross P B 8,740,02 Verygood,
,,,,town,in Yelahanka Newtown,,,,
29,Yelahanka,Yelahanka,4,Yelahanka Satellite,Allalasandra park,,10890,01 Excellent,
,,,,town,,,,,
30,Yelahanka,Yelahanka,4,Yelahanka Satellite,16th B Anjaneya temple park in,,2000,03 Good,
,,,,town,yelahanka Newtown,,,,
31,Yelahanka,Byatarayanapura,5,Jakkur,Agrahara Layout Hospital premises,,4000,04 Average,
,,,,,pak,,,,
32,Yelahanka,Yelahanka,3,Attur,2nd Main 5th Phase in Yelahanka,,2450,02 Very good,
,,,,,Newtown 5 6,,,,
33,Yelahanka,Yelahanka,4,Yelahanka Satellite,17th and 18th Cross B Sector in,,4094,02 Verygood,
,,,,town,Yelahanka Newtown,,,,
34,Yelahanka,Yelahanka,4,Yelahanka Satellite,7th B Main B Sector Sharadanagara,,740,04 Average,
