Index,Furnishing,BHK,Transaction,Super Area (in sqft),Bathroom,Link,CostPerSqft,TotalCost,Floor,Builder,Car Parking,overlooking,Balcony,facing,BuilderLink,Ownership,Location,Carpet Area,Status
0,Unfurnished,1,New Property,695,1,https://www.magicbricks.com/propertyDetails/1-BHK-695-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732313830313731,10793,7500000,Not Known,Brigade Sanctuary,1,Not Known,0,Not Known,https://www.magicbricks.com/brigade-sanctuary-sarjapur-road-bangalore-pdpid-4d4235343137383531,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Dec '28
1,Unfurnished,1,New Property,685,1,https://www.magicbricks.com/propertyDetails/1-BHK-685-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423731313531333039,8770,6010000,Not Known,Provident Park Square,1,Not Known,0,Not Known,https://www.magicbricks.com/provident-park-square-kanakapura-road-bangalore-pdpid-4d4235313132303633,Not Known,Kanakapura Road,Not Known,Ready to Move
2,Furnished,1,New Property,690,1,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",4500,3110000,Not Known,RRL Nature Wood,1,Not Known,0,Not Known,https://www.magicbricks.com/rrl-nature-wood-sarjapur-bangalore-pdpid-4d4235333234333831,Not Known,Sarjapura,Not Known,Ready to Move
3,Unfurnished,1,New Property,870,1,https://www.magicbricks.com/propertyDetails/1-BHK-685-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423731313531333039,8057,7009999,Not Known,TG Heritage,1,Not Known,0,Not Known,https://www.magicbricks.com/tg-heritage-kanakapura-road-bangalore-pdpid-4d4235333932343835,Not Known,Kanakapura Road,Not Known,Under Construction Poss. by Jan '26
4,Unfurnished,1,New Property,799,1,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",5000,4000000,Not Known,DS MAX Senate,0,Not Known,0,Not Known,https://www.magicbricks.com/ds-max-senate-begur-bangalore-pdpid-4d4235333333343837,Not Known,Begur,Not Known,Under Construction Poss. by Jun '26
5,Semi-Furnished,1,Resale,606.9802731,1,https://www.magicbricks.com/propertyDetails/1-BHK-607-Sq-ft-Multistorey-Apartment-FOR-Sale-Anchepalya-in-Bangalore&id=4d423732303639363431,11203,6800000,7 out of 30,Benaka Enterprise,1,"Garden/Park, Pool, Main Road",1,East,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",Freehold,Anchepalya,422 sqft,Ready to Move
6,Unfurnished,1,New Property,800,1,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Bagaluru-in-Bangalore&id=4d423731383437323637,5625,4500000,Not Known,Provident Ecopolitan,0,Not Known,0,Not Known,https://www.magicbricks.com/provident-ecopolitan-bagaluru-bangalore-pdpid-4d4235343136353731,Not Known,Bagaluru,Not Known,Under Construction Poss. by Dec '27
7,Semi-Furnished,1,New Property,656,1,https://www.magicbricks.com/propertyDetails/1-BHK-656-Sq-ft-Multistorey-Apartment-FOR-Sale-Devanahalli-in-Bangalore&id=4d423638303034393135,7626,5000000,Not Known,Sattva Aeropolis,0,Not Known,0,Not Known,https://www.magicbricks.com/sattva-aeropolis-devanahalli-bangalore-pdpid-4d4235333332383531,Not Known,Devanahalli,Not Known,Under Construction Poss. by Jul '26
8,Unfurnished,1,New Property,1120,2,https://www.magicbricks.com/propertyDetails/1-BHK-695-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732313830313731,4004,4480000,Not Known,GRC Subhiksha,1,Not Known,0,Not Known,https://www.magicbricks.com/grc-subhiksha-sarjapur-road-bangalore-pdpid-4d4235313135323239,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Apr '24
9,Unfurnished,1,New Property,650,1,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Abbigere-in-Bangalore&id=4d423731323339303833,5154,3350000,Not Known,Vijaya Aquagreen,0,Not Known,0,Not Known,https://www.magicbricks.com/vijaya-aquagreen-abbigere-bangalore-pdpid-4d4235313132373835,Not Known,Abbigere,Not Known,Under Construction Poss. by Dec '24
10,Unfurnished,1,New Property,654.9846887,1,https://www.magicbricks.com/orchid-bloomsberry-panathur-bangalore-pdpid-4d4235343137323737/prjDtId-4d42313733303333,11756,7700000,6 out of 18,Glen Classic,1,"Garden/Park, Pool, Main Road",1,East,https://www.magicbricks.com/glen-classic-hebbal-bangalore-pdpid-4d4235303832343633,Freehold,Hebbal,456 sqft,Ready to Move
11,Unfurnished,1,New Property,700,1,https://www.magicbricks.com/propertyDetails/1-BHK-655-Sq-ft-Multistorey-Apartment-FOR-Sale-Hebbal-in-Bangalore&id=4d423730393637363433,10840,7590000,7 out of 13,SNN Estates Felicity,1,Not Known,0,Not Known,https://www.magicbricks.com/snn-estates-felicity-rachenahalli-bangalore-pdpid-4d4235343139303939,Not Known,"Rachenahalli, Thanisandra",Not Known,Under Construction Poss. by Dec '28
12,Unfurnished,1,New Property,656,1,https://www.magicbricks.com/propertyDetails/1-BHK-695-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732313830313731,11433,7500000,Not Known,Brigade Sanctuary,1,Not Known,0,Not Known,https://www.magicbricks.com/brigade-sanctuary-sarjapur-road-bangalore-pdpid-4d4235343137383531,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Dec '28
13,Semi-Furnished,1,Resale,525.9758236,1,https://www.magicbricks.com/propertyDetails/1-BHK-526-Sq-ft-Multistorey-Apartment-FOR-Sale-Judicial-Layout-in-Bangalore&id=4d423731393138363233,10837,5700000,9 out of 11,Provident Park Square,1,Main Road,1,West,https://www.magicbricks.com/provident-park-square-judicial-layout-bangalore-pdpid-4d4235313132303633,Freehold,"Judicial Layout, Yelahanka",395 sqft,Under Construction
14,Unfurnished,1,New Property,725,1,https://www.magicbricks.com/propertyDetails/1-BHK-695-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732313830313731,8454,6130000,Not Known,Abhee Silicon Shine Phase 2 ,0,Not Known,0,Not Known,https://www.magicbricks.com/abhee-silicon-shine-phase-2-sarjapur-road-bangalore-pdpid-4d4235343137393439,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Jul '26
15,Furnished,1,New Property,700,1,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Villa-FOR-Sale-Nandi-hills-in-Bangalore&id=4d423731333735323131,7143,5000000,Not Known,Canterbury Hillview Phase 2,0,Not Known,0,Not Known,https://www.magicbricks.com/canterbury-hillview-phase-2-nandi-hills-bangalore-pdpid-4d4235343139303437,Not Known,Nandi Hills,Not Known,Under Construction Poss. by Mar '25
16,Unfurnished,1,New Property,550.0045834,1,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423638383731333337,10909,6000000,5 out of 30,Sobha Sentosa,1,"Garden/Park, Pool, Main Road",0,East,https://www.magicbricks.com/sobha-sentosa-varthur-bangalore-pdpid-4d4235333239323937,Freehold,Varthur,422 sqft,Under Construction Poss. by Dec '27
17,Unfurnished,1,New Property,480,1,https://www.magicbricks.com/propertyDetails/1-BHK-480-Sq-ft-Multistorey-Apartment-FOR-Sale-Electronic-City-Phase-2-in-Bangalore&id=4d423731363232323431,3750,1800000,2 out of 5,Benaka Enterprise,0,Main Road,0,East,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",Freehold,Phase 2 Electronic City,320 sqft,Ready to Move
18,Unfurnished,1,New Property,678.5068595,1,https://www.magicbricks.com/propertyDetails/1-BHK-678-Sq-ft-Multistorey-Apartment-FOR-Sale-Manyata-Tech-Park-in-Bangalore&id=4d423731303938343933,9403,6380000,4 out of 23,Sobha Dream Gardens,1,Garden/Park,1,East,https://www.magicbricks.com/sobha-dream-gardens-manyata-tech-park-bangalore-pdpid-4d4235313835393231,Freehold,Manayata Tech Park,412 sqft,Under Construction Poss. by Mar '25
19,Semi-Furnished,1,Resale,701.9842756,1,https://www.magicbricks.com/propertyDetails/1-BHK-702-Sq-ft-Multistorey-Apartment-FOR-Sale-Ambalipura-in-Bangalore&id=4d423637353030303431,10684,7500000,8 out of 16,SJR Palazza City,1,"Garden/Park, Pool, Main Road",1,North - East,https://www.magicbricks.com/sjr-palazza-city-ambalipura-bangalore-pdpid-4d4235313133363031,Freehold,Ambalipura Haralur,502 sqft,Ready to Move
