,Location,Builder,Status,Transaction,BHK,TotalCost,CostPerSqft,Super Area (in sqft),Bathroom,Balcony,Car Parking,Furnishing,Link,BuilderLink
0,Sarjapur Road,Brigade Sanctuary,Under Construction Poss. by Dec '28,New Property,1,7500000,10793,695.0,1,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-695-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732313830313731,https://www.magicbricks.com/brigade-sanctuary-sarjapur-road-bangalore-pdpid-4d4235343137383531
1,Kanakapura Road,Provident Park Square,Ready to Move,New Property,1,6010000,8770,685.0,1,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-685-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423731313531333039,https://www.magicbricks.com/provident-park-square-kanakapura-road-bangalore-pdpid-4d4235313132303633
2,Sarjapura,RRL Nature Wood,Ready to Move,New Property,1,3110000,4500,690.0,1,0,1,Furnished,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",https://www.magicbricks.com/rrl-nature-wood-sarjapur-bangalore-pdpid-4d4235333234333831
3,Kanakapura Road,TG Heritage,Under Construction Poss. by Jan '26,New Property,1,7009999,8057,870.0,1,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-685-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423731313531333039,https://www.magicbricks.com/tg-heritage-kanakapura-road-bangalore-pdpid-4d4235333932343835
4,Begur,DS MAX Senate,Under Construction Poss. by Jun '26,New Property,1,4000000,5000,799.0,1,0,0,Unfurnished,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",https://www.magicbricks.com/ds-max-senate-begur-bangalore-pdpid-4d4235333333343837
5,Anchepalya,Benaka Enterprise,Ready to Move,Resale,1,6800000,11203,606.9802731,1,1,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-607-Sq-ft-Multistorey-Apartment-FOR-Sale-Anchepalya-in-Bangalore&id=4d423732303639363431,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore"
6,Bagaluru,Provident Ecopolitan,Under Construction Poss. by Dec '27,New Property,1,4500000,5625,800.0,1,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Bagaluru-in-Bangalore&id=4d423731383437323637,https://www.magicbricks.com/provident-ecopolitan-bagaluru-bangalore-pdpid-4d4235343136353731
7,Devanahalli,Sattva Aeropolis,Under Construction Poss. by Jul '26,New Property,1,5000000,7626,656.0,1,0,0,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-656-Sq-ft-Multistorey-Apartment-FOR-Sale-Devanahalli-in-Bangalore&id=4d423638303034393135,https://www.magicbricks.com/sattva-aeropolis-devanahalli-bangalore-pdpid-4d4235333332383531
8,Sarjapur Road,GRC Subhiksha,Under Construction Poss. by Apr '24,New Property,1,4480000,4004,1120.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-695-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732313830313731,https://www.magicbricks.com/grc-subhiksha-sarjapur-road-bangalore-pdpid-4d4235313135323239
9,Abbigere,Vijaya Aquagreen,Under Construction Poss. by Dec '24,New Property,1,3350000,5154,650.0,1,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Abbigere-in-Bangalore&id=4d423731323339303833,https://www.magicbricks.com/vijaya-aquagreen-abbigere-bangalore-pdpid-4d4235313132373835
10,Hebbal,Glen Classic,Ready to Move,New Property,1,7700000,11756,654.9846887,1,1,1,Unfurnished,https://www.magicbricks.com/orchid-bloomsberry-panathur-bangalore-pdpid-4d4235343137323737/prjDtId-4d42313733303333,https://www.magicbricks.com/glen-classic-hebbal-bangalore-pdpid-4d4235303832343633
11,"Rachenahalli, Thanisandra",SNN Estates Felicity,Under Construction Poss. by Dec '28,New Property,1,7590000,10840,700.0,1,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-655-Sq-ft-Multistorey-Apartment-FOR-Sale-Hebbal-in-Bangalore&id=4d423730393637363433,https://www.magicbricks.com/snn-estates-felicity-rachenahalli-bangalore-pdpid-4d4235343139303939
12,Sarjapur Road,Brigade Sanctuary,Under Construction Poss. by Dec '28,New Property,1,7500000,11433,656.0,1,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-695-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732313830313731,https://www.magicbricks.com/brigade-sanctuary-sarjapur-road-bangalore-pdpid-4d4235343137383531
13,"Judicial Layout, Yelahanka",Provident Park Square,Under Construction,Resale,1,5700000,10837,525.9758236,1,1,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-526-Sq-ft-Multistorey-Apartment-FOR-Sale-Judicial-Layout-in-Bangalore&id=4d423731393138363233,https://www.magicbricks.com/provident-park-square-judicial-layout-bangalore-pdpid-4d4235313132303633
14,Sarjapur Road,Abhee Silicon Shine Phase 2 ,Under Construction Poss. by Jul '26,New Property,1,6130000,8454,725.0,1,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-695-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732313830313731,https://www.magicbricks.com/abhee-silicon-shine-phase-2-sarjapur-road-bangalore-pdpid-4d4235343137393439
15,Nandi Hills,Canterbury Hillview Phase 2,Under Construction Poss. by Mar '25,New Property,1,5000000,7143,700.0,1,0,0,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Villa-FOR-Sale-Nandi-hills-in-Bangalore&id=4d423731333735323131,https://www.magicbricks.com/canterbury-hillview-phase-2-nandi-hills-bangalore-pdpid-4d4235343139303437
16,Varthur,Sobha Sentosa,Under Construction Poss. by Dec '27,New Property,1,6000000,10909,550.0045834,1,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423638383731333337,https://www.magicbricks.com/sobha-sentosa-varthur-bangalore-pdpid-4d4235333239323937
17,Phase 2 Electronic City,Benaka Enterprise,Ready to Move,New Property,1,1800000,3750,480.0,1,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-480-Sq-ft-Multistorey-Apartment-FOR-Sale-Electronic-City-Phase-2-in-Bangalore&id=4d423731363232323431,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=1&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore"
18,Manayata Tech Park,Sobha Dream Gardens,Under Construction Poss. by Mar '25,New Property,1,6380000,9403,678.5068595,1,1,1,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-678-Sq-ft-Multistorey-Apartment-FOR-Sale-Manyata-Tech-Park-in-Bangalore&id=4d423731303938343933,https://www.magicbricks.com/sobha-dream-gardens-manyata-tech-park-bangalore-pdpid-4d4235313835393231
